cancer_study_id	name	description
228	tmb_mskcc_2018	TMB and Immunotherapy (MSKCC, Nat Genet 2019)	Genomic and survival data from 1661 tumor-normal pairs from 1661 patients with various cancer types sequenced with the MSK-IMPACT assay.
229	tgct_tcga	Testicular Germ Cell Cancer (TCGA, Provisional)	TCGA Testicular Germ Cell Cancer; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/TGCT/20160128/gdac.broadinstitute.org_TGCT.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
230	tgct_tcga_pan_can_atlas_2018	Testicular Germ Cell Tumors (TCGA, PanCancer Atlas)	Testicular Germ Cell Tumors TCGA PanCancer data. The original data is <a href="https://gdc.cancer.gov/about-data/publications/pancanatlas">here</a>. The publications are <a href="https://www.cell.com/pb-assets/consortium/pancanceratlas/pancani3/index.html">here</a>.
231	angs_project_painter_2018	The Angiosarcoma Project - Count Me In (Provisional, September 2018)	The Angiosarcoma Project is a patient-driven initiative. This study includes genomic data, patient-reported data (pre-pended as PRD), medical record data (MedR), and pathology report data (PATH). As these data were generated in a research, not a clinical, laboratory, they are for research purposes only and cannot be used to inform clinical decision-making. All annotations have been de-identified. More information is available at www.ascproject.org. Questions about these data can be directed to data@ascproject.org.
232	brca_mbcproject_wagle_2017	The Metastatic Breast Cancer Project (Provisional, October 2018)	The Metastatic Breast Cancer Project is a patient-driven initiative. This study includes genomic data, patient-reported data (pre-pended as PRD), medical record data (MedR), and pathology report data (PATH). All of the titles and descriptive text for the clinical data elements have been finalized in partnership with numerous patients in the project. As these data were generated in a research, not a clinical, laboratory, they are for research purposes only and cannot be used to inform clinical decision-making. All annotations have been de-identified. More information is available at www.mbcproject.org. For questions about these data, including how to cite, please visit www.mbcproject.org/data-release or direct questions to data@mbcproject.org.
233	prad_mpcproject_2018	The Metastatic Prostate Cancer Project (Provisional, December 2018)	The Metastatic Prostate Cancer Project is a patient-driven initiative. This study includes genomic data, patient-reported data (pre-pended as PRD), medical record data (MedR), and pathology report data (PATH).  As these data were generated in a research, not a clinical, laboratory, they are for research purposes only and cannot be used to inform clinical decision-making. All annotations have been de-identified. More information is available at www.mpcproject.org. For questions about these data, including how to cite, please visit www.mpcproject.org/data-release or direct questions to data@mpcproject.org.
234	lung_msk_pdx	Thoracic PDX (MSK, Provisional)	Targeted sequencing of thoracic PDX lines to characterize genetic alterations in 139 tumor/normal pairs via MSK-IMPACT. Data generated in Charles Rudin Lab.
235	tet_nci_2014	Thymic Epithelial Tumors (NCI, Nat Genet 2014)	Whole exome sequencing of 28 thymic epithelial tumors (TETs) with matched normals
236	thym_tcga_pan_can_atlas_2018	Thymoma (TCGA, PanCancer Atlas)	Thymoma TCGA PanCancer data. The original data is <a href="https://gdc.cancer.gov/about-data/publications/pancanatlas">here</a>. The publications are <a href="https://www.cell.com/pb-assets/consortium/pancanceratlas/pancani3/index.html">here</a>.
237	thym_tcga	Thymoma (TCGA, Provisional)	TCGA Thymoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/THYM/20160128/gdac.broadinstitute.org_THYM.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
238	thca_tcga_pan_can_atlas_2018	Thyroid Carcinoma (TCGA, PanCancer Atlas)	Thyroid Carcinoma TCGA PanCancer data. The original data is <a href="https://gdc.cancer.gov/about-data/publications/pancanatlas">here</a>. The publications are <a href="https://www.cell.com/pb-assets/consortium/pancanceratlas/pancani3/index.html">here</a>.
239	thca_tcga	Thyroid Carcinoma (TCGA, Provisional)	TCGA Thyroid Carcinoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/THCA/20160128/gdac.broadinstitute.org_THCA.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
240	urcc_mskcc_2016	Unclassified Renal Cell Carcinoma (MSK, Nature 2016)	Targeted gene sequencing of 62 high-grade primary Unclassified Renal Cell Carcinoma tumor samples with matched normals.
241	utuc_mskcc_2015	Upper Tract Urothelial Cancer (MSK, Eur Urol 2015)	Next-generation sequencing (MSK-IMPACT) on all protein-coding exons of 300 cancer associated genes of 85 Upper Tract Urothelial Carcinoma tumor samples and paired normals.
242	utuc_cornell_baylor_mdacc_2019	Upper Tract Urothelial Carcinoma (Cornell/Baylor/MDACC, Nat Comm 2019)	Whole exome sequencing (37 samples) and RNA-seq analysis (32 samples) of 47 upper tract urothelial carcinoma patients.
243	blca_cornell_2016	Urothelial Carcinoma (Cornell/Trento, Nat Gen 2016)	Whole-exome sequencing of 72 tumor samples (with 32 matched normals) in Urothelial Carcinoma.
244	ucs_jhu_2014	Uterine Carcinosarcoma (Johns Hopkins, Nat Commun 2014)	Whole exome sequencing (WXS) of 22 uterine carcinosarcoma/uterine malignant mixed Mullerian (UCS) tumors with matched normals. <A HREF="http://www.nature.com/ncomms/2014/140919/ncomms6006/extref/ncomms6006-s1.pdf">
245	ucs_tcga_pan_can_atlas_2018	Uterine Carcinosarcoma (TCGA, PanCancer Atlas)	Uterine Carcinosarcoma TCGA PanCancer data. The original data is <a href="https://gdc.cancer.gov/about-data/publications/pancanatlas">here</a>. The publications are <a href="https://www.cell.com/pb-assets/consortium/pancanceratlas/pancani3/index.html">here</a>.
246	ucs_tcga	Uterine Carcinosarcoma (TCGA, Provisional)	TCGA Uterine Carcinosarcoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/UCS/20160128/gdac.broadinstitute.org_UCS.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
247	uccc_nih_2017	Uterine Clear Cell Carcinoma (NIH, Cancer 2017)	Whole exome sequencing of paired tumor-normal DNAs from 16 cases of clear cell endometrial tumors.
248	ucec_tcga_pub	Uterine Corpus Endometrial Carcinoma (TCGA, Nature 2013)	Whole exome sequencing of 373 endometrial carcinoma tumors with matched normals. TCGA Uterine Corpus Endometrial Carcinoma project; raw data at the <A HREF="https://tcga-data.nci.nih.gov/docs/publications/ucec_2013/">NCI</A>.
249	ucec_tcga_pan_can_atlas_2018	Uterine Corpus Endometrial Carcinoma (TCGA, PanCancer Atlas)	Uterine Corpus Endometrial Carcinoma TCGA PanCancer data. The original data is <a href="https://gdc.cancer.gov/about-data/publications/pancanatlas">here</a>. The publications are <a href="https://www.cell.com/pb-assets/consortium/pancanceratlas/pancani3/index.html">here</a>.
250	ucec_tcga	Uterine Corpus Endometrial Carcinoma (TCGA, Provisional)	TCGA Uterine Corpus Endometrial Carcinoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/UCEC/20160128/gdac.broadinstitute.org_UCEC.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
251	um_qimr_2016	Uveal Melanoma (QIMR, Oncotarget 2016)	Whole-genome or whole-exome sequencing of tumor/normal pairs from 28 uveal melanoma samples.
252	uvm_tcga_pan_can_atlas_2018	Uveal Melanoma (TCGA, PanCancer Atlas)	Uveal melanoma TCGA PanCancer data. The original data is <a href="https://gdc.cancer.gov/about-data/publications/pancanatlas">here</a>. The publications are <a href="https://www.cell.com/pb-assets/consortium/pancanceratlas/pancani3/index.html">here</a>.
253	uvm_tcga	Uveal Melanoma (TCGA, Provisional)	TCGA Uveal Melanoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/UVM/20160128/gdac.broadinstitute.org_UVM.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
